token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
POLYX,spot_pair_removed_only,POLYXUSDT,no,POLYXUSDT,no,,,no,,
POND,still_tagged,PONDUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PONKE,futures_only_delisting,,yes,PONKEUSDT,no,,,no,,
PORT3,futures_only_delisting,,yes,PORT3USDT,no,PORT3USDT,risk_relevant_or_contract_specific_review,no,,
PORTAL,still_tagged,PORTALUSDT,no,PORTALUSDT,no,,,no,,
PORTO,spot_pair_removed_only,PORTOUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
POWR,spot_pair_removed_only,POWRUSDT,no,POWRUSDT,no,,,no,,
PROM,spot_pair_removed_only,PROMUSDT,no,PROMUSDT,no,,,no,,
PROS,delisted_after_tag,PROSUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PROVE,spot_pair_removed_only,PROVEUSDT,no,PROVEUSDT,no,,,no,,
PSG,spot_pair_removed_only,PSGUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PUFFER,futures_only_delisting,,yes,PUFFERUSDT,no,,,no,,
PUMP,seed_tag_only,PUMPUSDT,no,PUMPUSDT,no,,,no,,
PUNDIX,spot_pair_removed_only,PUNDIXUSDT,no,PUNDIXUSDT,no,,,no,,
PYR,spot_pair_removed_only,PYRUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PYTH,tag_removed,PYTHUSDT,no,PYTHUSDT,no,,,no,,
QI,still_tagged,QIUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
QKC,spot_pair_removed_only,QKCUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
QNT,spot_pair_removed_only,QNTUSDT,no,QNTUSDT,no,,,no,,
QTUM,spot_pair_removed_only,QTUMUSDT,no,QTUMUSDT,no,,,no,,
QUICK,still_tagged,QUICKUSDT,no,QUICKUSDT,no,,,no,,
RAD,futures_only_delisting,RADUSDT,no,RADUSDT,no,RADUSDT,risk_relevant_or_contract_specific_review,no,,
RARE,spot_pair_removed_only,RAREUSDT,no,RAREUSDT,no,,,no,,
RAY,spot_pair_removed_only,RAYUSDT,no,RAYUSDT,no,,,no,,
RDNT,delisted_after_tag,RDNTUSDT,no,RDNTUSDT,no,,,yes,ccxt_gateio,RDNT/USDT
