token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
SAPIEN,spot_pair_removed_only,SAPIENUSDT,no,SAPIENUSDT,no,,,no,,
SC,spot_pair_removed_only,SCUSDT,no,SCUSDT,no,,,no,,
SCR,seed_tag_only,SCRUSDT,no,SCRUSDT,no,,,no,,
SCRT,spot_pair_removed_only,SCRTUSDT,no,SCRTUSDT,no,,,no,,
SENT,seed_tag_only,SENTUSDT,no,SENTUSDT,no,,,no,,
SFP,spot_pair_removed_only,SFPUSDT,no,SFPUSDT,no,,,no,,
SHELL,spot_pair_removed_only,SHELLUSDT,no,SHELLUSDT,no,,,no,,
SHIB,spot_pair_removed_only,SHIBUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
SIGN,spot_pair_removed_only,SIGNUSDT,no,SIGNUSDT,no,,,no,,
SKATE,futures_only_delisting,,yes,SKATEUSDT,no,,,no,,
SKL,spot_pair_removed_only,SKLUSDT,no,SKLUSDT,no,,,no,,
SLERF,futures_only_delisting,,yes,SLERFUSDT,no,SLERFUSDT,risk_relevant_or_contract_specific_review,no,,
SLF,delisted_after_tag,SLFUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,SLF/USDT
SLP,futures_only_delisting,SLPUSDT,no,SLPUSDT,no,SLPUSDT,risk_relevant_or_contract_specific_review,no,,
SNM,delisted_without_known_tag,,yes,,yes,,no_usdm_pair_in_exchange_info,yes,,
SNT,delisted_after_tag,SNTUSDT,no,SNTUSDT,no,SNTUSDT,risk_relevant_or_contract_specific_review,yes,ccxt_gateio,SNT/USDT
SNX,spot_pair_removed_only,SNXUSDT,no,SNXUSDT,no,,,no,,
SOL,futures_only_delisting,SOLUSDT,no,SOLUSDT,no,SOLBUSD,normal_contract_sunset_or_migration_review,no,,
SOLV,spot_pair_removed_only,SOLVUSDT,no,SOLVUSDT,no,,,no,,
SOMI,spot_pair_removed_only,SOMIUSDT,no,SOMIUSDT,no,,,no,,
SOPH,spot_pair_removed_only,SOPHUSDT,no,SOPHUSDT,no,,,no,,
SPK,spot_pair_removed_only,SPKUSDT,no,SPKUSDT,no,,,no,,
SRM,delisted_without_known_tag,SRMUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
SSV,spot_pair_removed_only,SSVUSDT,no,SSVUSDT,no,,,no,,
STEEM,spot_pair_removed_only,STEEMUSDT,no,STEEMUSDT,no,,,no,,
