token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
AIGENSYN,seed_tag_only,AIGENSYNUSDT,no,AIGENSYNUSDT,no,,,no,,
AIXBT,seed_tag_only,AIXBTUSDT,no,AIXBTUSDT,no,,,no,,
AKRO,delisted_without_known_tag,AKROUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
ALCX,still_tagged,ALCXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
ALGO,spot_pair_removed_only,ALGOUSDT,no,ALGOUSDT,no,,,no,,
ALICE,spot_pair_removed_only,ALICEUSDT,no,ALICEUSDT,no,,,no,,
ALLO,spot_pair_removed_only,ALLOUSDT,no,ALLOUSDT,no,,,no,,
ALPACA,delisted_after_tag,ALPACAUSDT,no,ALPACAUSDT,no,,,no,,
ALPHA,delisted_after_tag,ALPHAUSDT,no,ALPHAUSDT,no,ALPHAUSDT,risk_relevant_or_contract_specific_review,no,,
ALPINE,spot_pair_removed_only,ALPINEUSDT,no,ALPINEUSDT,no,,,no,,
ALT,spot_pair_removed_only,ALTUSDT,no,ALTUSDT,no,,,no,,
AMB,delisted_without_known_tag,AMBUSDT,no,AMBUSDT,no,,,no,,
AMP,spot_pair_removed_only,AMPUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
ANIME,spot_pair_removed_only,ANIMEUSDT,no,ANIMEUSDT,no,,,no,,
ANKR,spot_pair_removed_only,ANKRUSDT,no,ANKRUSDT,no,,,no,,
ANT,delisted_after_tag,ANTUSDT,no,,yes,ANTUSDT,risk_relevant_or_contract_specific_review,no,,
APE,spot_pair_removed_only,APEUSDT,no,APEUSDT,no,,,no,,
API3,spot_pair_removed_only,API3USDT,no,API3USDT,no,,,no,,
APT,futures_only_delisting,APTUSDT,no,APTUSDT,no,APTBUSD,normal_contract_sunset_or_migration_review,no,,
AR,spot_pair_removed_only,ARUSDT,no,ARUSDT,no,,,no,,
ARB,spot_pair_removed_only,ARBUSDT,no,ARBUSDT,no,,,no,,
ARDR,still_tagged,ARDRUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
ARPA,spot_pair_removed_only,ARPAUSDT,no,ARPAUSDT,no,,,no,,
AST,delisted_after_tag,ASTUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,AST/USDT
ASTER,seed_tag_only,ASTERUSDT,no,ASTERUSDT,no,,,no,,
