token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
0G,spot_pair_removed_only,0GUSDT,no,0GUSDT,no,,,no,,
1000CAT,spot_pair_removed_only,1000CATUSDT,no,1000CATUSDT,no,,,no,,
1000CHEEMS,seed_tag_only,1000CHEEMSUSDT,no,1000CHEEMSUSDT,no,,,no,,
1000SATS,seed_tag_only,1000SATSUSDT,no,1000SATSUSDT,no,,,no,,
1000WHY,futures_only_delisting,,yes,1000WHYUSDT,no,,,no,,
1000X,futures_only_delisting,,yes,1000XUSDT,no,1000XUSDT,risk_relevant_or_contract_specific_review,no,,
1INCH,spot_pair_removed_only,1INCHUSDT,no,1INCHUSDT,no,,,no,,
1MBABYDOGE,seed_tag_only,1MBABYDOGEUSDT,no,1MBABYDOGEUSDT,no,,,no,,
2Z,spot_pair_removed_only,2ZUSDT,no,2ZUSDT,no,,,no,,
42,futures_only_delisting,,yes,42USDT,no,,,no,,
A2Z,delisted_after_tag,A2ZUSDT,no,A2ZUSDT,no,,,yes,ccxt_gateio,A2Z/USDT
AAVE,spot_pair_removed_only,AAVEUSDT,no,AAVEUSDT,no,,,no,,
ACA,delisted_after_tag,ACAUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_mexc,ACA/USDT
ACE,spot_pair_removed_only,ACEUSDT,no,ACEUSDT,no,,,no,,
ACH,spot_pair_removed_only,ACHUSDT,no,ACHUSDT,no,,,no,,
ACM,spot_pair_removed_only,ACMUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
ACT,seed_tag_only,ACTUSDT,no,ACTUSDT,no,,,no,,
ACX,seed_tag_only,ACXUSDT,no,ACXUSDT,no,,,no,,
ADA,futures_only_delisting,ADAUSDT,no,ADAUSDT,no,ADABUSD,normal_contract_sunset_or_migration_review,no,,
ADX,spot_pair_removed_only,ADXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
AERGO,delisted_after_tag,AERGOUSDT,no,AERGOUSDT,no,,,yes,ccxt_okx,AERGO/USDT
AEVO,spot_pair_removed_only,AEVOUSDT,no,AEVOUSDT,no,,,no,,
AGLD,spot_pair_removed_only,AGLDUSDT,no,AGLDUSDT,no,,,no,,
AI,futures_only_delisting,AIUSDT,no,AIUSDT,no,,,no,,
AIA,futures_only_delisting,,yes,AIAUSDT,no,AIAUSDT,risk_relevant_or_contract_specific_review,no,,
