token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
RED,seed_tag_only,REDUSDT,no,REDUSDT,no,,,no,,
REEF,delisted_after_tag,REEFUSDT,no,REEFUSDT,no,REEFUSDT,risk_relevant_or_contract_specific_review,yes,ccxt_gateio,REEF/USDT
REI,delisted_after_tag,REIUSDT,no,REIUSDT,no,,,no,,
REMOVE,still_tagged,,yes,,yes,,no_usdm_pair_in_exchange_info,yes,,
REN,delisted_without_known_tag,RENUSDT,no,RENUSDT,no,,,yes,ccxt_gateio,REN/USDT
RENDER,spot_pair_removed_only,RENDERUSDT,no,RENDERUSDT,no,,,no,,
REQ,spot_pair_removed_only,REQUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
RESOLV,still_tagged,RESOLVUSDT,no,RESOLVUSDT,no,,,no,,
REZ,spot_pair_removed_only,REZUSDT,no,REZUSDT,no,,,no,,
RIF,spot_pair_removed_only,RIFUSDT,no,RIFUSDT,no,,,no,,
RLC,spot_pair_removed_only,RLCUSDT,no,RLCUSDT,no,,,no,,
RLS,futures_only_delisting,,yes,RLSUSDT,no,,,no,,
RNDR,spot_pair_removed_only,RNDRUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
ROBO,seed_tag_only,ROBOUSDT,no,ROBOUSDT,no,,,no,,
RONIN,seed_tag_only,RONINUSDT,no,RONINUSDT,no,,,no,,
ROSE,spot_pair_removed_only,ROSEUSDT,no,ROSEUSDT,no,,,no,,
RPL,spot_pair_removed_only,RPLUSDT,no,RPLUSDT,no,,,no,,
RSR,spot_pair_removed_only,RSRUSDT,no,RSRUSDT,no,,,no,,
RUNE,spot_pair_removed_only,RUNEUSDT,no,RUNEUSDT,no,,,no,,
RVN,spot_pair_removed_only,RVNUSDT,no,RVNUSDT,no,,,no,,
RVV,futures_only_delisting,,yes,RVVUSDT,no,RVVUSDT,risk_relevant_or_contract_specific_review,no,,
SAGA,spot_pair_removed_only,SAGAUSDT,no,SAGAUSDT,no,,,no,,
SAHARA,spot_pair_removed_only,SAHARAUSDT,no,SAHARAUSDT,no,,,no,,
SAND,spot_pair_removed_only,SANDUSDT,no,SANDUSDT,no,,,no,,
SANTOS,spot_pair_removed_only,SANTOSUSDT,no,SANTOSUSDT,no,,,no,,
