token_symbol,final_outcome,spot_pair,spot_missing,futures_pair,futures_missing,exact_futures_contract,futures_class,fallback_required,fallback_provider,fallback_market
OMG,delisted_without_known_tag,OMGUSDT,no,OMGUSDT,no,OMGUSDT,risk_relevant_or_contract_specific_review,yes,ccxt_mexc,OMG/USDT
OMNI,spot_pair_removed_only,OMNIUSDT,no,OMNIUSDT,no,,,no,,
ONE,spot_pair_removed_only,ONEUSDT,no,ONEUSDT,no,,,no,,
ONT,spot_pair_removed_only,ONTUSDT,no,ONTUSDT,no,,,no,,
OOKI,delisted_without_known_tag,OOKIUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
OP,spot_pair_removed_only,OPUSDT,no,OPUSDT,no,,,no,,
OPG,seed_tag_only,OPGUSDT,no,OPGUSDT,no,,,no,,
ORBS,futures_only_delisting,,yes,ORBSUSDT,no,ORBSUSDT,risk_relevant_or_contract_specific_review,no,,
ORCA,seed_tag_only,ORCAUSDT,no,ORCAUSDT,no,,,no,,
ORDI,seed_tag_only,ORDIUSDT,no,ORDIUSDT,no,,,no,,
OSMO,spot_pair_removed_only,OSMOUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
OXT,delisted_after_tag,OXTUSDT,no,OXTUSDT,no,,,yes,ccxt_mexc,OXT/USDT
PAXG,spot_pair_removed_only,PAXGUSDT,no,PAXGUSDT,no,,,no,,
PDA,delisted_after_tag,PDAUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PEOPLE,spot_pair_removed_only,PEOPLEUSDT,no,PEOPLEUSDT,no,,,no,,
PERL,delisted_without_known_tag,PERLUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PERP,delisted_after_tag,PERPUSDT,no,PERPUSDT,no,,,yes,ccxt_gateio,PERP/USDT
PHA,spot_pair_removed_only,PHAUSDT,no,PHAUSDT,no,,,no,,
PHB,delisted_after_tag,PHBUSDT,no,PHBUSDT,no,,,yes,ccxt_gateio,PHB/USDT
PIVX,spot_pair_removed_only,PIVXUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PIXEL,spot_pair_removed_only,PIXELUSDT,no,PIXELUSDT,no,,,no,,
PLUME,spot_pair_removed_only,PLUMEUSDT,no,PLUMEUSDT,no,,,no,,
PNT,delisted_without_known_tag,PNTUSDT,no,,yes,,no_usdm_pair_in_exchange_info,no,,
PNUT,seed_tag_only,PNUTUSDT,no,PNUTUSDT,no,,,no,,
POLS,delisted_after_tag,POLSUSDT,no,,yes,,no_usdm_pair_in_exchange_info,yes,ccxt_kucoin,POLS/USDT
