token_symbol,scenario,drawdown_to_bottom,max_rebound_after_bottom,tradable_signal_found,best_signal_type,signal_quality_score,tradeability_tier,stop_failed,max_adverse_excursion,max_favorable_excursion_7d,risk_reward_7d,manual_review_required,main_reason,notes
COMBO,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.9011948281127407,0.2243346007604563,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.527,C,no,-0.47679593134138587,0.1201525746980292,0.16496177076423554,no,causal_signal_found,causal_signal_after_confirmation;no_future_low_used
COOKIE,MANUAL_REVIEW_REQUIRED,-0.5017272932232737,0.11111111111111116,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.089,Manual Review,yes,-0.23728813559322037,0.1694915254237288,3.1847133757961754,yes,false_breakout;low_liquidity_at_signal,causal_signal_after_confirmation;no_future_low_used
COS,MANUAL_REVIEW_REQUIRED,-0.3012530418025706,2.2442563482466746,yes,HIGHER_LOW_BREAKOUT,0.703,C,no,-0.23550945698596704,0.6369737644905431,1.4705053805848216,yes,causal_signal_found,causal_signal_after_confirmation;no_future_low_used
CREAM,MANUAL_REVIEW_REQUIRED,-0.766847744596755,1.272727272727273,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.812,B,no,-0.2137404580152672,0.7175572519083968,2.766333137139492,yes,causal_signal_found,causal_signal_after_confirmation;no_future_low_used
CTXC,EPIC_LIKE_REBOUND,-0.5091542638263125,1.2945945945945945,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.808,A,no,-0.0077459333849728695,0.4910921766072813,4.851545760636674,no,causal_signal_found,causal_signal_after_confirmation;no_future_low_used
CVP,DELISTING_DEATH_SPIRAL,-0.8937303871128144,nan,no,,,,,,,,no,no_capitulation_reclaim,
CVX,DEAD_CAT_BOUNCE,-0.43575409309862034,3.528888888888888,no,,,,,,,,no,strong_rebound_without_causal_confirmation;no_capitulation_reclaim,
D,MANUAL_REVIEW_REQUIRED,nan,nan,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;no_capitulation_reclaim,missing_bottom_or_path
DATA,MANUAL_REVIEW_REQUIRED,-0.8645436701033475,nan,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;no_capitulation_reclaim,
DEGO,MANUAL_REVIEW_REQUIRED,-0.9179412143325469,0.29166666666666674,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.696,C,yes,-0.6792849631966351,0.5036803364879074,1.176615082289364,yes,stop_hit_after_signal,causal_signal_after_confirmation;no_future_low_used
DENT,MANUAL_REVIEW_REQUIRED,-0.6412721507627408,2.714285714285714,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.144,Manual Review,yes,-0.23228346456692917,0.011811023622047223,0.10489510489510473,yes,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,causal_signal_after_confirmation;no_future_low_used
DF,MANUAL_REVIEW_REQUIRED,-0.9117469011720705,nan,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;no_capitulation_reclaim,
DOCK,DELISTING_DEATH_SPIRAL,-0.8246146803584725,nan,no,,,,,,,,no,no_capitulation_reclaim,
DODO,MANUAL_REVIEW_REQUIRED,-0.19093242873008454,0.15009151921903596,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;weak_rebound_below_20pct;no_capitulation_reclaim,
DREP,NO_BOTTOM_CONTINUED_BLEED,-0.9383693027248297,nan,no,,,,,,,,no,no_capitulation_reclaim,
ELF,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.22395096080230859,0.26411075612353563,no,,,,,,,,no,no_capitulation_reclaim,
EPIC,MANUAL_REVIEW_REQUIRED,-0.3603402143526486,3.31413612565445,yes,HIGHER_LOW_BREAKOUT,0.872,B,no,-0.0577617328519856,1.974729241877256,10.4031951312286,yes,causal_signal_found,causal_signal_after_confirmation;no_future_low_used
EPX,MANUAL_REVIEW_REQUIRED,-0.7057985746590424,0.6901408450704227,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.681,C,yes,-0.46171003717472114,0.043122676579925745,0.5334314356663319,yes,false_breakout,causal_signal_after_confirmation;no_future_low_used
FARM,MANUAL_REVIEW_REQUIRED,-0.49288263135603705,0.2779605263157894,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;no_capitulation_reclaim,
FIO,MANUAL_REVIEW_REQUIRED,-0.906682450821746,nan,no,,,,,,,,yes,bottom_manual_review;low_liquidity_at_bottom;no_capitulation_reclaim,
FIRO,NO_CLEAR_BOTTOM_REBOUND_PATTERN,-0.37969543109455306,1.1357142857142861,no,,,,,,,,no,strong_rebound_without_causal_confirmation;no_capitulation_reclaim,
FIS,MANUAL_REVIEW_REQUIRED,-0.5437043451487491,1.4579945799457992,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0,Manual Review,yes,-0.2741165234001911,0.010506208213944657,0.10858835143139241,yes,false_breakout;low_liquidity_at_signal;next_3_candles_failed_confirmation,causal_signal_after_confirmation;no_future_low_used
FLM,MANUAL_REVIEW_REQUIRED,-0.5119203016064522,2.9411764705882355,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.092,Manual Review,yes,-0.13375796178343946,0.9044585987261147,20.11331444759208,yes,low_liquidity_at_signal;next_3_candles_failed_confirmation,causal_signal_after_confirmation;no_future_low_used
FLOW,EPIC_LIKE_REBOUND,-0.7350785702745193,0.6644079885877321,yes,CAPITULATION_RECLAIM,0.0,Manual Review,no,-0.017504051863857284,0.08784440842787689,0.8039634508128639,no,signal_exists_but_manual_review_required,causal_signal_after_confirmation;no_future_low_used
FOR,MANUAL_REVIEW_REQUIRED,-0.6814487856015661,0.5049226441631505,yes,SLOW_BLEED_SQUEEZE_BREAKOUT,0.597,C,yes,-0.30150173276857917,0.03542549095109737,0.695389266817836,yes,false_breakout,causal_signal_after_confirmation;no_future_low_used
