token_entity_id,token_symbol,anchor_event_id,anchor_event_type,bottom_timestamp_utc,bottom_price,max_rebound_24h,max_rebound_3d,max_rebound_7d,max_rebound_14d,max_rebound_30d,max_rebound_60d,max_rebound_90d,rebound_20_flag,rebound_50_flag,rebound_100_flag,rebound_200_flag,days_from_bottom_to_max_rebound,rebound_high_timestamp_utc,rebound_high_price,volume_on_rebound,quote_volume_on_rebound,volume_zscore_on_rebound,rebound_sustained_3d,rebound_sustained_7d,post_rebound_drawdown,pump_and_dump_after_bottom,dead_cat_bounce_flag,low_liquidity_rebound_flag,fallback_used,price_source,exchange,manual_review_required,notes
MDT,MDT,9f755b05acbad2ef,MONITORING_TAG_ADDED,2025-07-01T19:00:00+00:00,0.01227,0.10676446617766921,0.18092909535452328,0.6039119804400979,0.9095354523227384,2.9804400977995114,2.9804400977995114,2.9804400977995114,yes,yes,yes,yes,23.791666666666668,2025-07-25T14:00:00+00:00,0.04884,412764286.1,17790904.790777,3.000037803202552,yes,yes,-0.9248566748566749,no,no,yes,no,binance_spot,binance,yes,
MDX,MDX,92ea1ce575290a09,MONITORING_TAG_ADDED,2024-01-24T06:00:00+00:00,0.0551,0.08529945553539009,0.08711433756805809,0.15063520871143377,0.15245009074410154,0.28675136116152444,0.726315789473684,0.726315789473684,yes,yes,no,no,49.833333333333336,2024-03-14T02:00:00+00:00,0.09512,5220417.9,491496.458148,3.186744991729135,no,no,-0.7897392767031118,yes,yes,no,no,binance_spot,binance,no,
MLN,MLN,d83b4d4e12311776,MONITORING_TAG_ADDED,2026-05-26T18:00:00+00:00,1.66,0.06626506024096401,0.06626506024096401,0.06626506024096401,0.06626506024096401,0.06626506024096401,0.06626506024096401,0.06626506024096401,no,no,no,no,0.041666666666666664,2026-05-26T19:00:00+00:00,1.77,3285.47,5680.76023,-0.5196522391136366,unknown,unknown,-0.05084745762711873,no,no,yes,no,binance_spot,binance,yes,
MOB,MOB,018313d3408ec969,MONITORING_TAG_ADDED,2024-03-29T15:00:00+00:00,0.0512,4.58984375,4.58984375,4.58984375,4.58984375,4.58984375,4.58984375,4.58984375,yes,yes,yes,yes,0.3333333333333333,2024-03-29T23:00:00+00:00,0.2862,223559192.81,50638290.348941,3.5934323532012655,yes,yes,-0.7851153039832285,no,no,no,no,binance_spot,binance,no,
MOVE,MOVE,18140f8172feb64b,MONITORING_TAG_ADDED,2025-06-22T20:00:00+00:00,0.111,0.5,0.7153153153153153,0.8018018018018018,0.8018018018018018,0.8243243243243243,0.8243243243243243,0.8243243243243243,yes,yes,no,no,28.583333333333332,2025-07-21T10:00:00+00:00,0.2025,27856136.7,5487350.79143,3.754059918757223,yes,yes,-0.9224691358024691,no,no,no,no,binance_spot,binance,no,
MULTI,MULTI,251d2bba37e3dd64,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-02-20T02:00:00+00:00,0.803,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,no,no,binance_spot,binance,no,
NFP,NFP,1713e6ad64f92db2,MONITORING_TAG_ADDED,2026-05-26T03:00:00+00:00,0.0097,0.05670103092783507,0.05670103092783507,0.05670103092783507,0.05670103092783507,0.05670103092783507,0.05670103092783507,0.05670103092783507,no,no,no,no,0.16666666666666666,2026-05-26T07:00:00+00:00,0.01025,5524709.0,56052.05749,0.2401544893947002,unknown,unknown,-0.0331707317073171,no,no,yes,no,binance_spot,binance,yes,
NKN,NKN,adf7b79baadd3250,MONITORING_TAG_ADDED,2025-04-17T03:00:00+00:00,0.016,0.11874999999999991,1.375,2.75,2.75,2.75,2.75,2.75,yes,yes,yes,yes,3.0833333333333335,2025-04-20T05:00:00+00:00,0.06,271161237.0,14183831.0553,3.3529174538783812,yes,yes,-0.9483333333333334,no,no,yes,no,binance_spot,binance,yes,
NOM,NOM,5b4814473eb320a9,MONITORING_TAG_ADDED,2026-05-22T23:00:00+00:00,0.00201,0.23880597014925375,0.23880597014925375,0.23880597014925375,0.23880597014925375,0.23880597014925375,0.23880597014925375,0.23880597014925375,yes,no,no,no,0.7083333333333334,2026-05-23T16:00:00+00:00,0.00249,618556229.0,1459762.30009,2.3737033988108798,no,no,-0.16465863453815266,no,no,yes,no,binance_spot,binance,yes,
NON,NON,94faf9340260e22c,SPOT_TOKEN_DELISTING_ANNOUNCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,missing_bottom_or_path
NTRN,NTRN,d133553a8f6c79b6,MONITORING_TAG_ADDED,2026-04-01T02:00:00+00:00,0.0013,,,,,,,,no,no,no,no,,,,,,,unknown,unknown,nan,no,no,yes,no,binance_spot,binance,yes,
