token_entity_id,token_symbol,anchor_event_id,signal_timestamp_utc,signal_type,signal_price,recent_low_price,stop_price,risk_pct,quote_volume_at_signal,volume_zscore_at_signal,bottom_liquidity_score,signal_liquidity_score,signal_confirmation_score,risk_management_score,execution_quality_score,data_quality_score,liquidity_score,confirmation_score,structure_score,risk_reward_score,source_quality_score,manual_review_penalty,signal_quality_score,final_tradeability_score,tradeability_tier,manual_review_required,notes
MDT,MDT,9f755b05acbad2ef,2025-06-15T00:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.01736,0.0159,0.015582,-0.10241935483870968,30554.409987,2.550021990566486,0.37,0.102,0.8,0.9,0.35,1.0,0.102,0.8,0.8,0.056,1.0,0.6,0.0,0.0,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
MOB,MOB,018313d3408ec969,2024-03-29T17:00:00+00:00,CAPITULATION_RECLAIM,0.0619,0.0512,0.050176,-0.18940226171243935,383806.11552,3.9369118319810688,1.0,1.0,1.0,0.9,0.85,1.0,1.0,1.0,0.8,1.0,1.0,0.0,0.963,0.963,A,no,causal_signal_after_confirmation;no_future_low_used
MOB,MOB,018313d3408ec969,2024-01-12T20:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.379,0.348,0.34103999999999995,-0.10015831134564657,192569.22888,2.154729320752603,1.0,0.642,0.6,0.9,0.35,1.0,0.642,0.6,0.8,0.035,1.0,0.0,0.561,0.561,C,no,causal_signal_after_confirmation;no_future_low_used
MOVE,MOVE,18140f8172feb64b,2025-07-21T09:00:00+00:00,HIGHER_LOW_BREAKOUT,0.1923,0.1572,0.154056,-0.19887675507020286,4009719.67909,4.634102133968047,1.0,1.0,0.8,0.9,0.35,1.0,1.0,0.8,0.8,0.089,1.0,0.0,0.689,0.689,C,no,causal_signal_after_confirmation;no_future_low_used
NKN,NKN,adf7b79baadd3250,2025-04-24T19:00:00+00:00,HIGHER_LOW_BREAKOUT,0.0397,0.0278,0.027243999999999997,-0.3137531486146097,4394748.6641,4.2564373023378925,0.231,1.0,0.8,0.65,0.85,1.0,1.0,0.8,0.45,0.203,1.0,0.08,0.66,0.66,C,no,"low liquidity at bottom, but signal liquidity improved"
NKN,NKN,adf7b79baadd3250,2025-04-13T20:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.018,0.0175,0.017150000000000002,-0.047222222222222054,109116.4128,1.6251757171055206,0.231,0.364,0.6,0.9,0.35,1.0,0.364,0.6,0.8,1.0,1.0,0.08,0.593,0.593,B,no,"low liquidity at bottom, but signal liquidity improved"
NULS,NULS,0b0fef5c55d48f0f,2025-03-12T12:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.1354,0.1121,0.109858,-0.18864106351550958,81305.7396,2.7334258990454083,0.313,0.271,0.8,0.9,0.85,1.0,0.271,0.8,0.8,0.114,1.0,0.6,0.003,0.003,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
PDA,PDA,0cc30ba0df8ec322,2025-05-01T18:00:00+00:00,CAPITULATION_RECLAIM,0.01134,0.0071,0.006958000000000001,-0.3864197530864196,976003.784168,3.488811076118077,1.0,1.0,0.6,0.35,0.85,1.0,1.0,0.6,0.2,0.035,1.0,0.25,0.371,0.371,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
PDA,PDA,0cc30ba0df8ec322,2025-04-12T09:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.01006,0.00956,0.0093688,-0.06870775347912517,60428.634187,3.6219309319214266,1.0,0.201,0.6,0.9,0.35,1.0,0.201,0.6,0.8,1.0,1.0,0.6,0.037,0.037,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
POLS,POLS,167819d9a56f2560,2024-07-13T09:00:00+00:00,HIGHER_LOW_BREAKOUT,0.4403,0.3011,0.29507799999999995,-0.32982511923688407,2546322.02359,2.153522500983106,1.0,1.0,0.8,0.65,0.85,1.0,1.0,0.8,0.45,0.066,1.0,0.0,0.715,0.715,C,no,causal_signal_after_confirmation;no_future_low_used
PORTAL,PORTAL,a556e77327afcd24,2025-07-02T03:00:00+00:00,HIGHER_LOW_BREAKOUT,0.0361,0.0281,0.027538,-0.23717451523545707,2116860.85211,2.9683433777808186,1.0,1.0,0.8,0.65,0.85,1.0,1.0,0.8,0.2,0.37,1.0,0.25,0.52,0.52,Manual Review,yes,causal_signal_after_confirmation;no_future_low_used
PORTAL,PORTAL,a556e77327afcd24,2025-05-16T09:00:00+00:00,SLOW_BLEED_SQUEEZE_BREAKOUT,0.0617,0.0535,0.05243,-0.15024311183144246,547155.07752,3.771257041765394,1.0,1.0,0.8,0.9,0.35,1.0,1.0,0.8,0.8,1.0,1.0,0.0,0.853,0.853,A,no,causal_signal_after_confirmation;no_future_low_used
