event_id,token_entity_id,token_symbol,symbol_pair,futures_symbol,event_time,entry_time,entry_price,event_type,primary_scenario,final_outcome,confidence_tier,feasibility_tier,confirmed_binance_perp,inferred_from_futures_klines,funding_available,oi_available,availability_status,quote_volume_24h_around_entry,return_1h,return_24h,gross_return,strategy_net_return_20bps,strategy_net_return_50bps,strategy_net_return_100bps,strategy_net_return_200bps,strategy_net_return_500bps,max_adverse_excursion,max_favorable_excursion,event_half,low_liquidity_flag,abnormal_candle_gap,extreme_first_hour_wick_gap,event_clustered_with_another_risk_event,validation_entry_after_event,validation_no_future_path_leakage,validation_no_pair_removal_only,validation_no_unknown_manual_review,validation_confirmed_shortability,validation_no_duplicate,announcement_title,announcement_url
0530e835539c12c2,ZEC,ZEC,ZECUSDT,ZECUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,24.47,MONITORING_TAG_ADDED,TAG_REMOVED_AND_RECOVERED,tag_removed,high,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,10389239.98992,-0.002020202020202,-0.050909090909091,0.1092475067996374,0.1072475067996374,0.1042475067996374,0.09924750679963741,0.0892475067996374,0.0592475067996374,0.0420923579893748,0.3227027027027027,2024H1,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include ANT, FIRO, KP3R, MDX, MOB, REEF, VAI, XMR, ZEC & ZEN, and Remove the Seed Tag for GMX & SUSHI on 2024-01-04",https://www.binance.com/en/support/announcement/detail/fd710b5e647c480ab9fe2d87e3cd4b39
b2f582e4f6f3e84c,ZEN,ZEN,ZENUSDT,ZENUSDT,2024-01-04T07:00:09Z,2024-01-04T09:59:59Z,7.68,MONITORING_TAG_ADDED,TAG_REMOVED_AND_RECOVERED,tag_removed,high,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,7462209.776,-0.0113636363636363,-0.0467171717171717,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.21666666666666662,0.37890625,0.1566265060240963,2024H1,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include ANT, FIRO, KP3R, MDX, MOB, REEF, VAI, XMR, ZEC & ZEN, and Remove the Seed Tag for GMX & SUSHI on 2024-01-04",https://www.binance.com/en/support/announcement/detail/fd710b5e647c480ab9fe2d87e3cd4b39
bcbb33fb0a078dbd,UNFI,UNFI,UNFIUSDT,UNFIUSDT,2024-04-03T06:00:16Z,2024-04-03T08:59:59Z,6.718,MONITORING_TAG_ADDED,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,high,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,30154142.1657,-0.0067516879219804,-0.0291072768192047,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.37857142857142884,0.0007442691277166,1.675428116288331,2024H1,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include EPX, FOR, UNFI, WAVES & WNXM on 2024-04-03",https://www.binance.com/en/support/announcement/detail/b869da2d645f41dab50227335703a741
c93ee5f086c41471,WAVES,WAVES,WAVESUSDT,WAVESUSDT,2024-04-03T06:00:16Z,2024-04-03T08:59:59Z,3.385,MONITORING_TAG_ADDED,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,high,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,41771520.8074,-0.0129107981220657,-0.1417253521126761,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.37857142857142884,0.0333825701624816,0.6658464566929132,2024H1,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include EPX, FOR, UNFI, WAVES & WNXM on 2024-04-03",https://www.binance.com/en/support/announcement/detail/b869da2d645f41dab50227335703a741
f516a957212c330b,CVX,CVX,CVXUSDT,CVXUSDT,2024-07-01T07:00:03Z,2024-07-01T09:59:59Z,3.185,MONITORING_TAG_ADDED,TAG_REMOVED_AND_RECOVERED,tag_removed,high,medium,yes,no,yes,no,confirmed_binance_perp;funding_available;manual_review_needed,4540476.535294,-0.0149253731343284,-0.0593905472636816,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,0.1324960753532182,0.5861553784860558,2024H2,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include BAL, CTXC, CVP, CVX, DOCK, HARD, IRIS, MBL, POLS, SNT & SUN and Remove the Monitoring Tag for MLN & ZEN on 2024-07-01",https://www.binance.com/en/support/announcement/detail/782b121c462b499487dc8f20e0edc6b2
14c00596e0d38ffa,BLZ,BLZ,BLZUSDT,BLZUSDT,2024-10-03T07:00:05Z,2024-10-03T09:59:59Z,0.1212,MONITORING_TAG_ADDED,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,high,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,10170043.2276,-0.0275080906148866,0.0339805825242718,-0.1666666666666665,-0.1686666666666665,-0.1716666666666665,-0.1766666666666665,-0.18666666666666648,-0.2166666666666665,0.2021452145214521,0.3046286329386438,2024H2,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include BLZ, CLV, KEY, PROS & VITE and Remove the Seed Tag for PENDLE & SEI on 2024-10-03",https://www.binance.com/en/support/announcement/detail/2178333b0324406088737cf07436ba43
0af050f2f61a9816,KEY,KEY,KEYUSDT,KEYUSDT,2024-10-03T07:00:05Z,2024-10-03T09:59:59Z,0.003595,MONITORING_TAG_ADDED,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,low_sensitivity,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,5332354.671599,-0.0302495588605998,-0.0617595160070582,-0.1666666666666666,-0.1686666666666666,-0.1716666666666666,-0.1766666666666666,-0.1866666666666666,-0.21666666666666662,0.3374130737134908,0.1596774193548387,2024H2,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include BLZ, CLV, KEY, PROS & VITE and Remove the Seed Tag for PENDLE & SEI on 2024-10-03",https://www.binance.com/en/support/announcement/detail/2178333b0324406088737cf07436ba43
c7d11f997d396961,STMX,STMX,STMXUSDT,STMXUSDT,2025-01-02T09:00:19Z,2025-01-02T11:59:59Z,0.005633,MONITORING_TAG_ADDED,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,low_sensitivity,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,6934076.963579,-0.0023423423423423,-0.0027027027027027,-0.1666666666666667,-0.16866666666666671,-0.17166666666666672,-0.17666666666666672,-0.1866666666666667,-0.21666666666666673,0.3642819101721994,0.1561986863711002,2025H1,no,no,no,no,True,yes,True,True,True,True,"Binance Will Extend the Monitoring Tag to Include STMX & TROY, Remove the Monitoring Tag for CVX & SUN, and Remove the Seed Tag for ARKM, BLUR, JTO & TIA on 2025-01-02",https://www.binance.com/en/support/announcement/detail/00ae3dd0e47746f0a118c9ea3172dde3
064b0dde744232dc,ALPACA,ALPACA,ALPACAUSDT,ALPACAUSDT,2025-03-04T08:01:22Z,2025-03-04T10:59:59Z,0.0781,MONITORING_TAG_ADDED,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,delisted_after_tag,low_sensitivity,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,4449495.49713,-0.0364321608040201,-0.0841708542713567,0.4285714285714288,0.4265714285714288,0.4235714285714288,0.4185714285714288,0.4085714285714288,0.37857142857142884,0.1241997439180537,0.7511210762331839,2025H1,no,no,no,no,True,yes,True,True,True,True,"Binance Will Change the Monitoring Tag Inclusion Frequency to Monthly and Extend the Monitoring Tag to Include AERGO, ALPACA, AST, BADGER, BURGER, COMBO, NULS, STPT, UFT & VIDT on 2025-03-04",https://www.binance.com/en/support/announcement/detail/d0a0b3c398264e9eb460f0e64324453c
0b0fef5c55d48f0f,NULS,NULS,NULSUSDT,NULSUSDT,2025-03-04T08:01:22Z,2025-03-04T10:59:59Z,0.1744,MONITORING_TAG_ADDED,TAG_TO_DELISTING_TO_COLLAPSE,delisted_after_tag,low_sensitivity,medium,yes,yes,yes,no,confirmed_binance_perp;inferred_from_futures_klines;funding_available,4705832.572000001,-0.0091585575271894,-0.0497996565540926,0.4285714285714286,0.4265714285714286,0.4235714285714286,0.4185714285714286,0.4085714285714286,0.3785714285714286,0.0223623853211007,0.9706214689265538,2025H1,no,no,no,no,True,yes,True,True,True,True,"Binance Will Change the Monitoring Tag Inclusion Frequency to Monthly and Extend the Monitoring Tag to Include AERGO, ALPACA, AST, BADGER, BURGER, COMBO, NULS, STPT, UFT & VIDT on 2025-03-04",https://www.binance.com/en/support/announcement/detail/d0a0b3c398264e9eb460f0e64324453c
